model,brand,product,product_parent,file_urls,type,ean,url,thumb,source
NVR-8076-554K2S-SMA-N,Nevir,Tv Led 5555 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/8076-55label.pdf,Etiqueta Energética,8427155023487,https://nevir.es/productos/televisores/tv-led-55/nvr-8076-554k2s-sma-n/,https://nevir.es/wp-content/uploads/2021/07/8076-55frontal-600x374.png,nevir.es
NVR-2782DVD-PCU,Nevir,Dvd Portatiles ,Imagen ,http://nevir.imagar.com/wp-content/uploads/2021/07/2782manual.pdf,Manual de Instrucciones,8427155502777,https://nevir.es/productos/imagen/dvd-portatiles/nvr-2782dvd-pcu/,https://nevir.es/wp-content/uploads/2021/07/2782-600x600.png,nevir.es
NVR-2782DVD-PCU,Nevir,Dvd Portatiles ,Imagen ,http://nevir.imagar.com/wp-content/uploads/2021/07/2782.pdf,Ficha,8427155502777,https://nevir.es/productos/imagen/dvd-portatiles/nvr-2782dvd-pcu/,https://nevir.es/wp-content/uploads/2021/07/2782-600x600.png,nevir.es
NVR-2777DVD-PDCU,Nevir,Dvd Portatiles ,Imagen ,http://nevir.imagar.com/wp-content/uploads/2021/07/2777manual.pdf,Manual de Instrucciones,8427155502791,https://nevir.es/productos/imagen/dvd-portatiles/nvr-2777dvd-pdcu/,https://nevir.es/wp-content/uploads/2021/07/2777all-600x542.png,nevir.es
NVR-2777DVD-PDCU,Nevir,Dvd Portatiles ,Imagen ,http://nevir.imagar.com/wp-content/uploads/2021/07/2777.pdf,Ficha,8427155502791,https://nevir.es/productos/imagen/dvd-portatiles/nvr-2777dvd-pdcu/,https://nevir.es/wp-content/uploads/2021/07/2777all-600x542.png,nevir.es
NVR-7711-24RD2-N,Nevir,Tv Led 2828 A 1616 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/7711-24.pdf,Ficha,8427155023401,https://nevir.es/productos/televisores/tv-led-28-a-16/nvr-7711-24rd2-n/,https://nevir.es/wp-content/uploads/2021/07/7711-24frontal-600x417.jpg,nevir.es
NVR-7711-24RD2-N,Nevir,Tv Led 2828 A 1616 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/7711-24manual.pdf,Manual de Instrucciones,8427155023401,https://nevir.es/productos/televisores/tv-led-28-a-16/nvr-7711-24rd2-n/,https://nevir.es/wp-content/uploads/2021/07/7711-24frontal-600x417.jpg,nevir.es
NVR-7711-24RD2-N,Nevir,Tv Led 2828 A 1616 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/7711-24label.pdf,Etiqueta Energética,8427155023401,https://nevir.es/productos/televisores/tv-led-28-a-16/nvr-7711-24rd2-n/,https://nevir.es/wp-content/uploads/2021/07/7711-24frontal-600x417.jpg,nevir.es
NVR-7710-24RD2-SMA-N,Nevir,Tv Led 2828 A 1616 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/7710-24.pdf,Ficha,8427155023395,https://nevir.es/productos/televisores/tv-led-28-a-16/nvr-7711-24rd2-sma-n-copia/,https://nevir.es/wp-content/uploads/2021/07/7710-24frontal-600x417.jpg,nevir.es
NVR-7710-24RD2-SMA-N,Nevir,Tv Led 2828 A 1616 ,Televisores ,http://nevir.imagar.com/wp-content/uploads/2021/07/7710-24manual.pdf,Manual de Instrucciones,8427155023395,https://nevir.es/productos/televisores/tv-led-28-a-16/nvr-7711-24rd2-sma-n-copia/,https://nevir.es/wp-content/uploads/2021/07/7710-24frontal-600x417.jpg,nevir.es
